title,PC1,PC2,PC3,PC4
ราดหน้าดอกกระหล่ำ,131.24058908124792,-105.05647791345578,-39.76904188202926,184.2101572009099
ไข่เจียวแหนม,-198.7644803068063,-120.2580356478979,-39.420398068647195,-79.8103547700186
กระเพาะปลาน้ำแดง,-198.44519267294066,-95.3418685371559,-40.103593296236674,-124.65801138285629
ขนมจีนน้ำยากะทิ,-198.80039609981532,-74.96826184059748,-39.79976726111855,-94.53656112418233
ข้าวไข่ขาวข้นไส้กรอกไข่กุ้ง,-198.7593690452948,-108.40977910181982,-39.59188861839244,-78.86425146758485
อกเป็ดซอสส้ม,-198.74648948910445,-120.24334892796094,-39.66215702827883,-78.18285868930806
หอยลายผัดพริกเผาใบกระเพรา,-198.7557042535276,-112.74301224075292,-39.66647115686833,-79.26040991832949
มาม่าคาโบนาร่า,-198.7511880477138,-120.24667516743709,-39.59929448033001,-78.99191463422507
หมึกผัดถั่วแขก,-198.80677448034984,-80.32203408324203,-39.91742423625034,171.77955596424232
ปลาช่อนยัดไส้,-198.81681723243315,-105.3531533293093,-40.05716442090891,206.49618619788183
สเต็กหมูพริกไทยดำ,-198.76351741999096,-105.25827035066267,-39.71413045976607,-18.298393813400867
บะหมี่ไข่ดาว,-198.7532774482852,-120.25089533131852,-39.53693146490891,-78.65031308430459
พริกแกงหมูไข่ดาว,-198.692853261313,-115.24816891078721,-39.610265377329924,-58.70376985584754
แหนมผัดไข่,-198.75377104012824,-120.25983119800621,-39.489789137418434,-79.11719713156579
ผัดคะน้าน้ำมันหอย,-125.42217843794532,-112.20056960087095,-39.7067794452418,-61.984687260353546
ไก่อบโค้ก,-198.73205113953978,-117.741023664429,-39.6591794072934,-77.49022338051189
ผัดสะตอหมูสับ,-183.78605735301485,-100.2853925153401,-39.84172435400111,122.04181329473714
ข้าวผัดแหนม,-198.7559054871116,-119.00583785925687,-39.6220702806824,-80.28444392373841
หมูผัดกะปิ,-198.73995781135397,-105.29049651484499,-39.837252051563915,121.34480087335493
เส้นใหญ่ทอด,-198.78054034869433,-105.39037153359727,-40.089642730876996,354.6923413127343
ข้าวอบหนำเลี้ยบ,-198.8081556093886,-108.32428387183684,-39.88293202079551,-11.697500070134478
ข้าวผัดปลาทู,-198.8090144760256,-103.73016007165344,-39.96932517623793,-103.0828118086123
มาม่าต้มยำทูน่า,-198.74098922364777,-120.24720704840328,-39.60131791300758,-79.28064970889595
ก๋วยเตี๋ยวผัดคั่วหมูสับ,-198.76191378893066,-115.29666238600258,-39.78375225730595,122.52846945206143
ข้าวผัดปลาสลิดพริกเผา,-198.80621137665315,-105.28995025058701,-39.83484935830825,-93.92929393822556
บะหมี่ผักเต้าหู้ไข่ไก่ไข่ผัดพริก,-198.77268008399204,-104.26724686089081,-39.67940558730398,-88.17627925837641
ผัดดอกไม้กวาดใส่หมู,-198.7475287516562,-120.28030486083053,-39.79625978112834,71.5525006834398
ขนมจีนผัดแหนม,-198.70768951463626,-116.25242688538317,-39.73471792311974,-74.83790677435437
ผัดไวไว,-198.74994607808736,-118.99927701701785,-39.60882143130031,-78.92743818681481
ผัดกะเพราหมูสับแครอท,-198.76742608784707,-118.85783202078741,-39.84279712359558,121.34148824582894
หมูเด้งทอดกระเทียม,-198.77414394151097,-95.25856112081564,-39.71250735724643,-27.494754481722445
ข้าวไข่ขยี้กุ้งสับ,-198.77666964054458,-117.78465672927847,-39.632932584015556,-84.31099253577577
หมูสามชั้นผัดพริกหยวก,-183.79848941980669,-90.36124957564358,-40.10683565678559,419.95708158141
ไส้ลวก,-198.76228819306394,-120.29322265175095,-39.836455009397945,121.11162385470205
ข้าวผัดธัญพืชอกไก่,-198.75105325020084,-120.25117777641397,-39.69364540232796,-82.17453943318947
ราดหน้ากะเพรากรอบ,-197.88292690989803,-112.3227571845267,-39.86823730107088,149.6888444462876
ข้าวผัดรถไฟ,-198.8362012229633,-117.88106620998924,-39.82733669676026,8.60445300507096
หอยทอด,21.199470972493007,-104.9532833184633,-39.196128712229864,-82.62107281904628
ข้าวผัดหมู,-198.78520004074915,-120.37741438114136,-39.84136657130287,114.4995534775473
แซนวิชครัวซองท์สลัดปูอัด,-198.72650791132853,-120.23978012506669,-39.65327576991301,-78.15930738509962
ข้าวหน้าปลาทูซีอิ้วพริก,-171.2514633368857,-114.22996853635473,-39.70763652557225,-85.45487685209393
ปลาหมึกแช่ผัดพริกเผา,-198.72650074943832,-116.25448777967074,-39.71596717282955,-27.26510879951449
ไข่กระทะ,-198.7644527899357,-112.76225156003206,-39.574175581412625,-34.40396145442824
บะหมี่ราดหน้าซอสเปรี้ยวหวาน,-198.68919494909153,-90.25311962442136,-39.721767442502966,-80.75882566983977
ผัดหมี่โคราช,-198.4445730939304,-119.9553174881065,-39.669486401939025,-79.13366752362603
นิชชินคาโบนาร่า,-198.7644838500868,-108.10914401251061,-39.61089121829886,-78.5290197670256
สปาเก็ตตี้ปลาหมึกผัดโหระพา,-198.75530337994624,-115.2477599703458,-39.6766763898444,-78.01780192429912
ข้าวผัดปู,-198.82205111950853,-120.35064924847805,160.28817796378524,-86.32022808155465
ผัดผักบุ้งไก่ขมิ้น,-198.72751223713044,-108.25947865913544,-39.746476660941475,-87.43654558766977
โจ๊กทูน่า,-198.78517621984747,-103.66089562942555,-39.62047333582448,-83.60320788358634
ยำขาเห็ดหอม,-198.7596415502688,-105.2454230043669,-39.669363559356476,-77.99130278541936
ข้าวหมกไก่,-198.8119509078146,-116.33156168109248,-39.92698037653846,-95.00372563932082
ผัดกระเพราหมู ,41.2036693753693,-104.17652670936617,-40.08411868498036,420.1578162753479
สุกี้ลาวโรล,-198.7489887972188,-105.24834431349294,-39.68247829844531,-48.298883852861564
ข้าวผัดน้ำพริก,-198.79972221278155,-82.44244962929355,-39.74432225207828,-83.521965004654
พระรามลงสรง,-198.7848809388419,-110.01065827935676,-40.04658840055144,317.0736555069944
ผัดพริกแกงเผ็ดปลากระป๋อง,-198.83133550635011,-20.24286348551595,-39.64622890293834,-78.80521418412278
สเต๊กอกไก่สไปซี่มัสตาร์ดและสลัดแตงกวา,-198.7851845806667,-112.8050416529046,-39.896922324559775,-102.14107662027871
ไก่ผัดกิมจิ,-198.72389671160798,-105.26844915384468,-39.77516253615045,-93.068235622683
ข้าวผัดปลากระป๋อง,-198.77702703832364,-116.28638889417867,-39.77104761375433,-83.3540644468971
แกงกะหรี่หม้อใหญ่,-198.4153970709307,-120.29399556456887,-39.83647627580474,97.51554592729859
ไข่ดาวน้ำ,21.247873859625305,-120.06338565038065,-39.574796826213515,-63.654010227342994
ผัดกะเพราเบค่อนคลุกข้าว,-198.73061426153723,-101.42939457824998,-39.67588695456702,-79.12054738853756
บะหมี่อกไก่ย่างเทอริยากิ,-198.72912032382555,-117.76140675641916,-39.739415732991496,-76.62559835970308
พาสต้าผัดเห็ดและเบคอน,-198.78090421146166,-105.5878481634909,-39.70921669498138,-72.9423703252219
ข้าวผัดเห็ดหอม,-198.75330658555447,-115.2606601282878,-39.638116886950705,-78.29578488821505
ข้าวขาหมู,3301.1626000005654,-72.74544460937197,-40.30477448165733,1418.053327756098
อกไก่ผัดพริกหยวก,-198.75249204775193,-114.2469418596368,-39.67699617709841,-78.96288812052065
หอยทอดไข่,-169.54058437278687,-120.24841289973186,-39.598993830505776,-80.07368840444292
ไข่เจียวซูเฟล่,-198.7489831336395,-120.24417680614268,-39.59165884132777,-78.7063721434455
ราดหน้าคะน้าฮ่องกงดอกกะหล่ำ,-198.75263689223243,-120.36980293607361,-40.08938010808943,-36.9153600699947
ราดหน้าทะเล,-198.53437566687575,-99.38488294110078,-39.716601288732264,-75.47935750228675
หมูกรอบ,-198.71553097915574,-110.5681188398434,-40.6632433923436,929.0988405114003
ไข่เจียว,-198.76845362656945,-117.7695358274048,-39.49395929637327,-77.23071055198999
ขนมจีน,-168.74964616363803,-120.29255313156212,-39.92341992188641,220.69077653726342
หมูก้อนวุ้นเส้นทอด,-198.76522451818153,-120.29377298053058,-39.838051761243186,121.23328362853098
ผัดกระเพราเต้าหู้ไข่,-176.23573689789137,-114.22395344351882,-39.67395395038097,-79.96749543126465
สปาเก็ตตี้แฮมผัดฉ่า,-198.7506374707451,-115.2386447283441,-39.66184160309799,-77.91974598908388
ยำไข่เป็ดต้ม,-198.74744860150176,-110.23879392673135,-39.655835207325346,-78.26921082065542
ไก่ผัดเม็ดมะม่วงหิมพานต์,-198.7522395523375,-111.26330540168048,-39.74430251645955,-87.56272917012564
ไข่ข้นพริกสดเบคอนกรุบ,-198.75514045954222,-112.24450018250776,-39.59453772797105,-78.91871902845533
ผัดผักบุ้งไทย,-178.74806647619647,-114.25316810245037,-39.754457590843984,21.78702149956783
ทูน่าผัดพริกเห็ดข้าวโพดอ่อน,-198.75482605374884,-113.24470239573068,-39.67236589133032,-78.41590891185949
หมูผัดหวาน,-198.7613570934602,-120.37090899525167,-40.12081746558673,420.4461786738094
เต้าหู้ผัดหมูสับถั่วงอก,-198.74227870576047,-120.27455335246077,-39.76258077291318,22.931334534872853
ข้าวผัดปลาเค็มทรงเครื่อง,-198.81932945589867,-115.36388832058009,-39.99776885552751,-98.5612754734014
หมูสะเต๊ะพร้อมเครื่องจิ้ม,-88.82124137069317,-105.23230791647627,-40.14660611988068,421.7906713308503
วุ้นเส้นผัดไข่ใบชะอม,-198.74461128108592,-114.2482787496756,-39.6035981389335,-77.84081147739502
ปลาหมึกผัดไข่เค็ม,-198.7535841343543,-100.25213222728605,-39.53864289511199,-78.84314224417736
ก๋วยเตี๋ยวลูกชิ้นน้ำใส,-198.64104086900826,-120.34356081973422,-40.03500545286013,236.6368100108487
ยำปลาทูน่า,-198.7287749916395,-112.23678646388515,-39.66063550372456,-78.67223949638267
ผัดเผ็ดเป็ดย่าง,-198.87850075016945,47.10922913442506,-39.67764479703453,-81.07560472641458
ข้าวราดผัดพริกหมู,-198.7298965056058,-119.25285946496147,-39.713178478530594,-27.673937431584754
ไก่ทอดกระเทียม,-198.75093894843857,-120.25174007854135,-39.69814618510722,-82.8448622120896
สุกี้โรล,-198.78094936543383,-115.3249815293656,-39.94385015179442,221.24827534134235
หมูย่างบาร์บีคิว,-198.7160421753131,-120.26709810749824,-39.76976229183387,41.98581675939683
ไข่เป็ดเจียวคนอร์ขวด,-198.7460789445869,-120.24083282909297,-39.654199231589416,-77.91336777597074
ผัดบล็อคโคลี่เห็ดหอม,-88.75517823719792,-120.19077571810631,-39.771875523607456,-82.89073218061235
ผัดซีอิ้วกุ้ง,-198.7748104409461,-105.36549918585166,-40.08655591709325,-16.38605261655434
ผัดกระเพราหมูชิ้น,-191.28146685367926,-116.31136147850198,-39.941972703655956,221.47261184360087
สปาเกตตี้ผัดไส้อั่วเบคอน,-198.78170597086205,-100.2643696272991,-39.71821927291097,-79.83837642910451
ก๋วยเตี๋ยวหลอด,21.34122027723145,-105.1151149732311,-39.8244043891681,-63.87705706198074
กุ้งผัดกระเทียม,-198.7780905491358,-115.33658193446907,-39.95686602342958,-92.68024483460687
ซุปไก่มันฝรั่ง,-198.2541469667508,-115.33177167581152,-39.97549425692136,-72.90700513367081
ไก่ทอดซอสกระเทียม,-198.76763683858826,-120.29606999403391,-39.8624787984706,-102.67881569853684
ราดหน้าหมู,-194.64450140228675,-103.36787494888121,-41.86920827257703,2028.3944065442408
ผักตะไคร้พริกไทยดำตับ,-198.79372092869696,-99.32199683310863,-39.930662289861644,220.9297980216966
ไก่ผัดเปรี้ยวหวานโหระพา,-198.758957851146,-113.32628849586258,-39.96996547871865,-87.5923325655636
ไข่ตุ๋นพาสต้า,21.237013747835274,-120.0792642490741,-39.54230452119082,-78.1720042383414
ผัดฉ่าอกไก่,21.249821447766816,-108.06402697651849,-39.65852066366567,-79.49726889299147
ข้าวต้มไข่ดาวน้ำ,-198.7532658310696,-120.24952199235153,-39.53225719308396,-79.1908988932088
เต้าหู้คั่วพริกเกลือ,-198.74423315688446,-110.24343068664415,-39.66380736824595,-75.01862156373095
ผัดกุ๋ยช่าย,-198.76173540440186,-120.27702077188903,-39.76922225925204,-83.39596708346922
ข้าวกล้องผัดกะปิกุ้งสด,-88.78372652285154,-120.21280599868973,-39.74829626337668,-86.5542076820403
ข้าวยัดไส้ฟองเต้าหู้,-198.75308078525663,-120.24912507087953,-39.67697800170193,-79.64272061361328
ไก่พริกแกงทอดกรอบ,-168.78240937422666,-105.26811098523947,-39.850899113527326,-103.28801231616897
ก๋วยเตี๋ยวต้มยำสูตรเจ,-198.69715484412237,-110.25371212475703,-39.70166099371443,-70.2516026680579
กะเพราะเนื้อ,-198.74534004662817,-120.1902908034913,-39.654255622124886,-78.29009282537518
ไข่เจียวปู,-213.32992222238295,-136.55145284480747,99960.37378264448,10.328296713430166
สุกี้หมู,-198.76201952281988,-120.27970175998524,-39.712512786090436,46.00452308771552
แกงเผ็ดออมนิมีทสตริปกับขนมปังบาแกตต์,-198.7734825004346,-85.24310375750179,-39.65875601486354,-77.35377754671826
หมูผัดพริกขี้หนูสวน,-198.76569062668838,-100.36845125036012,-40.11266406470952,419.9995188036886
ซี่โครงหมูอบน้ำผึ้ง,-198.74074200368315,-105.24759493471238,-39.67646335642473,-78.25866750058039
ข้าวผัดกะปิหมูทอด,-194.52974236477783,-90.27181156875534,-39.7524041813784,-52.3596041299219
ไข่ยัดไส้,-198.76116288759962,-120.30433722479545,-39.79790963871408,123.44483838088425
สปาเก็ตตี้คอร์นบีฟ,-198.75746563233088,-104.9926457770334,-39.64904675679187,-78.17251481343699
ขนมจีนน้ำยามั่วตั่ว,1801.0741724065037,82.06424851471093,-39.50009385636211,-88.96492539688882
ยำขนมจีน,-198.73725188482337,-105.23596062325218,-39.65817487808795,-78.19248902241497
ไข่เจียวโบราณ,-198.78319021497833,-105.28504281879293,-39.65622126043791,-90.83930917649309
ผัดหมี่,-198.7039595375151,-117.7952176114092,-39.647109241816146,-92.35812689029213
กะหล่ำจ๋า,-198.73381732267865,-120.23595022106987,-39.657666837679095,-77.90353250737707
ปลาดอลลี่ผัดขึ้นฉ่าย,21.118218512995632,-118.2091257803697,-40.23772421199285,-151.114437053644
กระเพรากุ้งหมูสับ,-198.7908262490579,-107.34305018357347,-39.9921328681139,115.37248605978887
ลาบปลาดุกทอดกรอบ,-198.76215293796457,-110.25250401547832,-39.714084733580954,-85.57352893061466
สปาเก็ตตี้มีทบอล,-198.76188873525834,-119.68315827311926,-39.737437422826325,-79.47786865044027
มาม่าผัดไข่ใส่เบคอน,-198.74799394243078,-120.25366830520105,-39.54780897818457,-79.09123262820637
ผัดหมี่ซอสเย็นตาโฟอกไก่,-198.72222433656114,-115.24259825183076,-39.5936897851646,-78.49772511276286
ผัดตับกระเทียม,-198.69207362684955,-112.7433700324309,-39.66853708793888,-78.41259574023181
เต้าหู้ไข่เห็ดหอมน้ำมันหอย,-198.734483970331,-120.24492624134898,-39.67055403778685,-77.57973896794353
ขนมจีนน้ำเงี้ยว,-198.97404560724652,179.56169941412782,-40.38066377148808,438.34004434732367
กะเพราเนื้อหั่นเต๋า,-198.7479304839895,-110.07648603152856,-39.66461025121402,-78.48190558109494
ข้าวอบทรงเครื่อง,281.2893155188565,-101.02439685310515,-39.6366405576701,-79.64995690873164
กะเพราหมูสับ,-198.94855360599564,99.70161563471201,-39.82006698038291,140.94810405912494
