,ingredient,uniq_unit,ชิ้น,ห่อ,ลูก,หัว,ถุง,กระฉอก,ถาด,ยอด,ต้น,ขา,ซอง,ก้อน,เส้น,อัน,บาท,เม็ด,กระป๋อง,ใบ,ใจ,แผ่น,ก้าน,แพ็ค,แท่ง,ท่อน,ผล,แพค,ตัว,ฝัก,มัด,ดอก,กล่อง,ชุด,กิ่ง,พวง,แว่น,อก,แง่ง,ช่อ,นิ้ว,ราก,หลอด,แพ,หม้อ,ซอย,ซีก,น่อง,โครง,ดวง,ขยุ้ม
10,^(?!.*ซอส|หมู).*พริกไทย.*|พริกไท|black pepper|Red Pepper Flakes,"['', 'ก้าน', 'กิ่ง', 'พวง', 'อก', 'ส.', 'พวงเล็ก', 'ห่อ', 'ฝัก', 'ซอง', 'ช่อ', 'แพ็ก', 'หัว', 'ท่อนใบตอง', 'ชิ้น', 'ห่อเล็ก', 'บด', 'เม็ด', 'tea_spoon', 'spoon', 'table_spoon', 'kilogram', 'gram', 'hundred_gram', 'hand', 'pick', 'cup', 'min', 'avg', 'buble', 'drops']",0,5,0,40,0,0,0,0,0,0,7,0,0,0,0,0.5,0,0,0,0,5,20,0,10,0,0,0,10,0,0,0,0,5,5,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0
11,ต้นหอม|ต้มหอม|ตันหอม,"['', 'ใบ', 'ท่อน', 'ต้น', 'ส.', 'อย่างละ ต้น', 'มัด', 'เส้น', 'หัว', 'นิ้ว', 'ซอย', 'บาท', 'ต้น หั่นท่อน', 'tea_spoon', 'spoon', 'table_spoon', 'gram', 'hundred_gram', 'hand', 'pick', 'cup', 'min', 'avg', 'plate']",0,0,0,12,0,0,0,0,12,0,0,0,12,0,33.33,0,0,3,0,0,0,0,0,6,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
12,แครอท|แคร์รอต|แครท|ผักสามสี,"['', 'ท่อน', 'ต้น', 'แว่น', 'หัวเล็ก', 'แท่ง', 'อัน', 'เส้น', 'ต้นเล็ก', 'หัว', 'หัวใหญ่', 'ชิ้น', 'แผ่น', 'นิ้ว', 'ลูก', 'ผล', 'นึง', 'tea_spoon', 'spoon', 'table_spoon', 'gram', 'milligram', 'hundred_gram', 'hand', 'pick', 'cup', 'min', 'avg']",10,0,93,93,0,0,0,0,93,0,0,0,4,93,0,0,0,0,0,10,0,0,93,50,93,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,^(?!.*บะหมี่|ผง|กระดูก|ลูกชิ้น|ซี่โครง|ตับ|น้ำมัน|น้ำสต๊อก|คนอร์|แหนม|กุนเชียง|กาก|รสดี|ซุป|น้ำ|แคป|ซอส|มัน|กระเทียม|ไส้กรอก|เลือด|แฮม).*หมู(?!ยอ|กรอบ|หยอง|แดง|แฮม).*|สามชั้นสไลซ์|สันคอ,"['', 'ขา', 'แพ็ค', 'หาง', 'แพค', 'ก้อน', 'ห่อ', 'โครง', 'เส้น', 'ก้อนเล็ก', 'แพ๊ค', 'ชิ้น', 'แผ่น', 'ลิ้น', 'ชิ้นใหญ่', 'ไม้', 'บาท', 'tea_spoon', 'spoon', 'table_spoon', 'ladle', 'kilogram', 'gram', 'hundred_gram', 'cup', 'min', 'avg', 'buble', 'plate']",30,200,0,0,0,0,0,0,0,300,0,60,0,0,5,0,0,0,0,40,0,300,60,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,300,0,0
14,^(?!.*เส้น)(.*ข้าวสวย|^ข้าว$|ข้าวกล้อง.*|ข้าวสาร|ข้าวเปล่า|ข้าวหอมมะลิ|ข้าวเย็น|ข้าวหุงสุก|ข้าวญี่ปุ่น|ข้าวสุก|ข้าวแช่เย็น|ข้าวหอม|ข้าวเสาไห้|ข้าวบาสมาติ),"['', 'หม้อ', 'ถ้วน', 'หม้อหุงข้าว', 'ที่', 'คนทาน', 'กป.', 'กระป๋องตวงช', 'ถุง', '/', 'บาท', 'table_spoon', 'ladle', 'gram', 'hand', 'cup', 'min', 'avg', 'plate']",0,0,0,0,80,0,0,0,0,0,0,0,0,0,16,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0
15,มะนาว,"['', 'ใบ', 'ลูกใหญ่', 'ซีก', 'ซอง', 'ชีก', 'ชิ้น', 'แผ่น', 'ลูก', 'ผล', 'tea_spoon', 'spoon', 'table_spoon', 'ladle', 'milligram', 'lobe', 'cup', 'min', 'avg']",55,0,55,0,0,0,0,0,0,0,55,0,0,0,0,0,0,55,0,10,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.33333333,0,0,0,0
16,พริกขี้หนู,"['', 'ดอก', 'เมล็ด', 'เม็ด', 'พริก', 'ชิ้น', 'เม็ด เม็ดเล็ก', 'สีละ  เม็ด', 'tea_spoon', 'spoon', 'table_spoon', 'gram', 'hundred_gram', 'hand', 'lobe', 'cup', 'min', 'avg']",1.428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,1.428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,^(?!.*ไข่|มัน|มาม่า).*กุ้ง(?!แห้ง).*,"['', 'ทั้งซอง', 'ห่อ', 'ซอง', 'ตัวใหญ่', 'ตัว', 'ชิ้น', 'tea_spoon', 'spoon', 'table_spoon', 'kilogram', 'gram', 'hundred_gram', 'hand', 'cup', 'min', 'avg']",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,^(?!.*ซอส|ซ้อส).*มะเขือเทศ.*,"['', 'ลูกเล็ก', 'ลุก', 'แพค', 'ซอง', 'หัว', 'หัวใหญ่', 'ชิ้น', 'ลูก', 'กล่อง', 'กระป๋อง', 'ผล', 'ลูกใหญ่', 'spoon', 'table_spoon', 'kilogram', 'gram', 'hundred_gram', 'cup', 'min', 'avg', 'plate', 'millitre']",10,0,57,57,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,57,200,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
19,หอมใหญ่|หอมหัวใหญ่|หัวหอม|หอมแขก|หอมซอย|หอมเล็กเจียว|^หอม$|หัวใหญ่,"['', 'ดอก', 'ลูกเล็ก', 'ลูกใหญ่', 'ซีก', 'ท่อน', 'ต้น', 'ส.', 'หัวเล็ก', 'ซอง', 'หัว', 'หัวใหญ่', 'ลูก', 'ซอยหัว', 'ผล', 'บาท', 'spoon', 'table_spoon', 'kilogram', 'gram', 'hundred_gram', 'pick', 'lobe', 'cup', 'min', 'avg', 'millitre']",0,0,100,100,0,0,0,0,50,0,0,0,0,0,12,0,0,0,0,0,0,0,0,30,100,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0
